gerne,title,author,price,star,review,star_line
공포/스릴러,모든 것을 기억하는 남자,데이비드 발다치 저/황소연 역                                                                          ,12420.0,8.6,68,0.0
공포/스릴러,영혼의 도서관,랜섬 릭스 저/이진 역                                                                          ,13500.0,8.8,2,0.0
공포/스릴러,검은 고양이,에드가 앨런 포 저/강미경 역                                                                          ,8550.0,10.0,46,1.0
공포/스릴러,뱀파이어 걸작선,브램 스토커 저                                                                          ,10800.0,8.0,1,0.0
공포/스릴러,인페르노 2,댄 브라운 저/안종설 역                                                                          ,11700.0,8.3,10,0.0
공포/스릴러,불타는 소녀들,C. J. 튜더 저/이은선 역                                                                          ,14400.0,9.4,53,1.0
공포/스릴러,나의 사이클롭스,오츠 이치 저/김선영 역                                                                          ,13500.0,10.0,4,1.0
공포/스릴러,나비 사냥,박영광 저                                                                          ,12600.0,8.7,25,0.0
공포/스릴러,할로우 시티,랜섬 릭스 저/이진 역                                                                          ,12600.0,9.0,15,1.0
공포/스릴러,편지의 심판,스테판 안헴 저/김소정 역                                                                          ,15120.0,9.2,34,1.0
공포/스릴러,새들의 회의,랜섬 릭스 저/변용란 역                                                                          ,13500.0,9.8,51,1.0
공포/스릴러,브링 미 백,B. A. 패리스 저/황금진 역                                                                          ,12600.0,9.3,20,1.0
공포/스릴러,"하피스, 잔혹한 소녀들",에이버리 비숍 저/김나연 역                                                                          ,15120.0,9.2,20,1.0
공포/스릴러,시간의 지도,랜섬 릭스 저/변용란 역                                                                          ,16200.0,9.4,84,1.0
공포/스릴러,폴른: 저주받은 자들의 도시,데이비드 발다치 저/김지선 역                                                                          ,13320.0,10.0,3,1.0
공포/스릴러,공포의 일본 실화 괴담,유키 노부오 편/주원일 역                                                                          ,8820.0,8.6,17,0.0
공포/스릴러,이형의 것들,고이케 마리코 저/이규원 역                                                                          ,12600.0,8.7,15,0.0
공포/스릴러,프랑켄슈타인,메리 셸리 저/임종기 역                                                                          ,8100.0,9.7,24,1.0
공포/스릴러,나를 찾아줘,길리언 플린 저                                                                          ,15300.0,9.0,4,1.0
공포/스릴러,넷이 있었다,이시우 저                                                                          ,12420.0,8.5,41,0.0
공포/스릴러,팔묘촌,요코미조 세이시 저/정명원 역                                                                          ,9000.0,9.6,94,1.0
공포/스릴러,붉은 여왕,후안 고메스 후라도 저/김유경 역                                                                          ,16200.0,9.4,71,1.0
공포/스릴러,시시리바의 집,사와무라 이치 저/이선희 역                                                                          ,15300.0,8.1,21,0.0
공포/스릴러,러브크래프트 전집 2,H.P. 러브크래프트 저/정진영 역                                                                          ,12600.0,10.0,8,1.0
공포/스릴러,드라큘라,브램 스토커 저/페르난도 비센테 그림/이세욱 역                                                                          ,29700.0,10.0,1,1.0
공포/스릴러,죽음을 선택한 남자,데이비드 발다치 저/이한이 역                                                                          ,13320.0,9.6,22,1.0
공포/스릴러,후회하는 소녀와 축제의 밤,아키타케 사라다 저/김은모 역                                                                          ,15120.0,8.4,37,0.0
공포/스릴러,구원의 날,정해연 저                                                                          ,12420.0,9.6,53,1.0
공포/스릴러,사랑하는 아이,로미 하우스만 저/송경은 역                                                                          ,14400.0,8.0,30,0.0
공포/스릴러,학생가의 살인,히가시노 게이고 저/김난주 역                                                                          ,15120.0,8.5,86,0.0
공포/스릴러,너무 친한 친구들,넬레 노이하우스 저/김진아 역                                                                          ,12420.0,9.5,18,1.0
공포/스릴러,숲속의 로맨스,앤 래드클리프 저/장용준 역                                                                          ,17550.0,10.0,10,1.0
공포/스릴러,현장검증,이종관 저                                                                          ,12150.0,10.0,78,1.0
공포/스릴러,"공포, 집, 여성","엘리자베스 개스켈,버넌 리,루이자 메이 올콧,메리 셸리 저/장용준 역                                                                          ",15750.0,9.7,33,1.0
공포/스릴러,디지털 포트리스 1,댄 브라운 저/안종설 역                                                                          ,8550.0,7.8,7,0.0
공포/스릴러,끝나지 않은 무서운 이야기,비명소리가득한방 편                                                                          ,10800.0,9.1,75,1.0
공포/스릴러,하루 하루가 세상의 종말 4,J.L 본 저/송민경 역                                                                          ,12420.0,9.6,68,1.0
공포/스릴러,하루 하루가 세상의 종말 3,J.L 본 저/송민경 역                                                                          ,13500.0,9.4,19,1.0
공포/스릴러,스티븐 킹 단편집 (상),스티븐 킹 저/조영학 역                                                                          ,11700.0,10.0,9,1.0
공포/스릴러,즈우노메 인형,사와무라 이치 저/이선희 역                                                                          ,13500.0,9.9,11,1.0
공포/스릴러,기억 파단자,고바야시 야스미 저/주자덕 역                                                                          ,13500.0,9.8,24,1.0
공포/스릴러,밀어줄까?,유키 슌 저/손지상 역                                                                          ,11520.0,9.8,11,1.0
공포/스릴러,소녀무녀 봄 : 청동방울편,레이먼드 조 저/김준호 그림                                                                          ,13500.0,10.0,2,1.0
공포/스릴러,6분 전,시드니 셀던 저                                                                          ,14220.0,9.5,42,1.0
공포/스릴러,아름답다 추하다 당신의 친구,사와무라 이치 저/오민혜 역                                                                          ,13500.0,9.1,32,1.0
공포/스릴러,홀리데이,T. M. 로건 저/천화영 역                                                                          ,20700.0,9.2,14,1.0
공포/스릴러,"단편들, 한국 공포 문학의 두 번째 밤","김보람,아소,배명은,유아인,배현,전사라,이규락,최정원,효빈,차삼동 저                                                                          ",12420.0,8.2,74,0.0
공포/스릴러,시소 몬스터,이사카 코타로 저/김은모 역                                                                          ,14400.0,9.5,19,1.0
공포/스릴러,나이트메어 앨리,윌리엄 린지 그레셤 저/유소영 역                                                                          ,13320.0,8.4,20,0.0
공포/스릴러,카르밀라,"조셉 토마스 셰리든 르 파뉴 저/김소영,박혜영 역                                                                          ",11700.0,8.8,186,0.0
공포/스릴러,로스트 심벌 1,댄 브라운 저/안종설 역                                                                          ,11250.0,9.8,17,1.0
공포/스릴러,에이전트 러너,존 르 카레 저/조영학 역                                                                          ,15120.0,8.4,11,0.0
공포/스릴러,장난감 수리공,고바야시 야스미 저/김은모 역                                                                          ,12600.0,9.2,36,1.0
공포/스릴러,악인,요시다 슈이치 저/이영미 역                                                                          ,10800.0,10.0,1,1.0
공포/스릴러,죽지 못한 자들의 세상에서,전건우 저                                                                          ,13500.0,9.7,54,1.0
공포/스릴러,열세 가지 수수께끼,애거사 크리스티 저/이은선 역                                                                          ,9000.0,9.7,22,1.0
공포/스릴러,리볼브 2,이종관 저                                                                          ,13500.0,8.6,3,0.0
공포/스릴러,15분마다,리사 스코토라인 저/권도희 역                                                                          ,14220.0,8.1,21,0.0
공포/스릴러,놈의 기억 2,윤이나 저                                                                          ,12420.0,8.3,50,0.0
공포/스릴러,심리죄 : 프로파일링,레이미 저/박소정 역                                                                          ,13320.0,7.5,7,0.0
공포/스릴러,디지털 포트리스 2,댄 브라운 저/안종설 역                                                                          ,8550.0,9.4,10,1.0
공포/스릴러,로스트 심벌 2,댄 브라운 저/안종설 역                                                                          ,11250.0,9.2,17,1.0
공포/스릴러,락다운,피터 메이 저/고상숙 역                                                                          ,15300.0,9.1,29,1.0
공포/스릴러,얼굴 없는 살인자,헨닝 만켈 저/박진세 역                                                                          ,12600.0,8.5,84,0.0
공포/스릴러,살인귀 1,아야츠지 유키토 저/김진환 역                                                                          ,13500.0,8.2,21,0.0
공포/스릴러,루거 총을 든 할머니,브누아 필리퐁 저/장소미 역                                                                          ,13320.0,8.6,71,0.0
공포/스릴러,바람을 뿌리는 자,넬레 노이하우스 저/김진아 역                                                                          ,12420.0,7.9,12,0.0
공포/스릴러,리틀 드러머 걸,존 르 카레 저/조영학 역                                                                          ,15120.0,8.9,11,0.0
공포/스릴러,작자미상 상,미쓰다 신조 저/김은모 역                                                                          ,10350.0,8.3,22,0.0
공포/스릴러,그것 IT 세트,스티븐 킹 저                                                                          ,32400.0,9.7,30,1.0
공포/스릴러,스티븐 킹 단편집 (하),스티븐 킹 저/조영학 역                                                                          ,10800.0,9.0,8,1.0
공포/스릴러,댄싱 걸스,M.M. 쉬나르 저/이은선 역                                                                          ,13500.0,8.1,4,0.0
공포/스릴러,소녀가 사라지던 밤 1,박영광 저                                                                          ,13500.0,8.3,16,0.0
공포/스릴러,5인의 목격자,E. V. 애덤슨 저/신혜연 역                                                                          ,15300.0,9.5,2,1.0
공포/스릴러,"인스티튜트 1,2 세트",스티븐 킹 저/이은선 역                                                                          ,21600.0,8.4,49,0.0
공포/스릴러,심플 플랜,스콧 스미스 저/조동섭 역                                                                          ,11700.0,8.4,21,0.0
공포/스릴러,"내 생애, 8월 22일",시드니 셀던 저/전민식 역                                                                          ,14220.0,7.8,22,0.0
공포/스릴러,그래서 그들은 바다로 갔다,존 그리샴 저/공경희 역                                                                          ,10800.0,9.3,40,1.0
공포/스릴러,일본 도시 괴담,김성욱 편                                                                          ,7920.0,8.6,13,0.0
공포/스릴러,"단편들, 한국 공포 문학의 밤","장은호,배명은,이산화,왼손,유사본,해도연,지현상,사마란,엄성용,우명희 저                                                                          ",11700.0,5.0,2,0.0
공포/스릴러,더 걸 비포,JP 덜레이니 저/이경아 역                                                                          ,13500.0,9.3,35,1.0
공포/스릴러,인형,대프니 듀 모리에 저/변용란 역                                                                          ,12600.0,8.8,58,0.0
공포/스릴러,킬링 이브,루크 제닝스 저/황금진 역                                                                          ,13500.0,8.8,5,0.0
공포/스릴러,다잉 아이 Dying Eye,히가시노 게이고 저/김난주 역                                                                          ,13320.0,9.7,3,1.0
공포/스릴러,괴이,미야베 미유키 저/김소연 역                                                                          ,9000.0,8.6,31,0.0
공포/스릴러,숲,할런 코벤 저/최필원 역                                                                          ,12600.0,9.2,40,1.0
공포/스릴러,리가의 개들,헨닝 망켈 저/박진세 역                                                                          ,13320.0,9.0,68,1.0
공포/스릴러,단 한 번의 시선,할런 코벤 저/최필원 역                                                                          ,13950.0,10.0,5,1.0
공포/스릴러,하늘이여 땅이여 2,김진명 저                                                                          ,10620.0,8.0,4,0.0
공포/스릴러,리디머,요 네스뵈 저/노진선 역                                                                          ,13500.0,8.0,1,0.0
공포/스릴러,아름다운 흉기,히가시노 게이고 저/민경욱 역                                                                          ,13320.0,9.8,19,1.0
공포/스릴러,하늘이여 땅이여 1,김진명 저                                                                          ,10620.0,9.1,17,1.0
공포/스릴러,편리한 진실,이시형 저                                                                          ,13320.0,7.5,2,0.0
공포/스릴러,결백,할런 코벤 저/최필원 역                                                                          ,7020.0,9.1,11,1.0
공포/스릴러,소녀가 사라지던 밤 2,박영광 저                                                                          ,13500.0,8.5,29,0.0
공포/스릴러,혼숨,"전건우,홍정기,양수련,조동신 저                                                                          ",13500.0,9.1,17,1.0
공포/스릴러,신의 죽음,김진명 저                                                                          ,11970.0,9.5,18,1.0
공포/스릴러,살인귀 2,아야츠지 유키토 저/김진환 역                                                                          ,13500.0,9.6,69,1.0
공포/스릴러,스마일리의 사람들,존 르 카레 저/조영학 역                                                                          ,13500.0,8.7,42,0.0
공포/스릴러,괴담의 집,미쓰다 신조 저/현정수 역                                                                          ,12420.0,8.9,35,0.0
공포/스릴러,애니가 돌아왔다,C. J. 튜더 저/이은선 역                                                                          ,13500.0,8.2,29,0.0
공포/스릴러,얼간이,미야베 미유키 저/이규원 역                                                                          ,12600.0,8.2,52,0.0
공포/스릴러,킬링 이브 2,루크 제닝스 저/황금진 역                                                                          ,13500.0,8.4,53,0.0
공포/스릴러,살煞,박해로 저                                                                          ,11700.0,9.2,45,1.0
공포/스릴러,삼수탑,요코미조 세이시 저/정명원 역                                                                          ,10800.0,10.0,1,1.0
공포/스릴러,화가,미쓰다 신조 저/현정수 역                                                                          ,12420.0,8.6,17,0.0
공포/스릴러,이름 없는 자,도나토 카리시 저/이승재 역                                                                          ,13320.0,9.8,33,1.0
공포/스릴러,러브크래프트 전집 3,H.P. 러브크래프트 저/정진영 역                                                                          ,12600.0,9.7,3,1.0
공포/스릴러,구부러진 계단,딘 쿤츠 저/유소영 역                                                                          ,14220.0,8.1,32,0.0
공포/스릴러,스티븐킹 걸작선 세트,스티븐 킹 저                                                                          ,100800.0,8.1,40,0.0
공포/스릴러,사명과 영혼의 경계,히가시노 게이고 저/송태욱 역                                                                          ,13320.0,9.5,23,1.0
공포/스릴러,강물 저편은 차고 깊다,교고쿠 나츠히코 글/마치다 나오코 그림/히가시 마사오 편/김수정 역                                                                          ,13500.0,9.3,14,1.0
공포/스릴러,링 세트,스즈키 고지 저/김수영 역                                                                          ,36000.0,9.5,2,1.0
공포/스릴러,아낌없이 뺏는 사랑,피터 스완슨 저/노진선 역                                                                          ,13050.0,8.9,14,0.0
공포/스릴러,블랙하우스,피터 메이 저/하현길 역                                                                          ,15120.0,9.4,6,1.0
공포/스릴러,인페르노,댄 브라운 저/안종설 역                                                                          ,31500.0,9.5,9,1.0
공포/스릴러,푸르게 빛나는,김혜영 저                                                                          ,10800.0,9.6,36,1.0
공포/스릴러,산괴 1,다나카 야스히로 저/김수희 역                                                                          ,16020.0,8.6,48,0.0
공포/스릴러,"나의 아가, 나의 악마",조예 스테이지 저/이수영 역                                                                          ,13320.0,7.8,23,0.0
공포/스릴러,작자미상 하,미쓰다 신조 저/김은모 역                                                                          ,10350.0,9.6,48,1.0
공포/스릴러,디어 와이프 DEAR WIFE,킴벌리 벨 저/최영열 역                                                                          ,14220.0,8.8,8,0.0
공포/스릴러,유령리스트,방진호 저                                                                          ,10800.0,9.2,20,1.0
공포/스릴러,흑백,미야베 미유키 저/김소연 역                                                                          ,12600.0,9.0,14,1.0
공포/스릴러,렛미인 1,욘 아이비데 린드크비스트 저/최세희 역                                                                          ,9900.0,9.2,26,1.0
공포/스릴러,혼,윤재광 저                                                                          ,13590.0,9.0,11,1.0
공포/스릴러,안주,미야베 미유키 저/김소연 역                                                                          ,13320.0,8.4,7,0.0
공포/스릴러,13번째 인격,기시 유스케 저/김미영 역                                                                          ,12150.0,8.2,7,0.0
공포/스릴러,내가 죽기를 바라는 자들,마이클 코리타 저/최필원 역                                                                          ,13950.0,7.0,2,0.0
공포/스릴러,아편전쟁,"이원태,김탁환 저                                                                          ",11700.0,8.6,59,0.0
